PGC0000212 1
PGC0000218 1
PGC0000255 1
PGC0000281 1
PGC0000282 1
PGC0000451 1
PGC0000548 1
PGC0000635 1
PGC0000639 1
PGC0000647 1
PGC0000670 1
PGC0000963 1
PGC0001058 1
PGC0001221 1
PGC0001224 1
PGC0001237 1
PGC0001293 1
PGC0001478 1
PGC0001523 1
PGC0001621 1
PGC0001713 1
PGC0001747 1
PGC0001781 2
PGC0001805 1
PGC0001841 1
PGC0001862 1
PGC0001909 1
PGC0001932 1
PGC0001936 1
PGC0002016 1
PGC0002035 1
PGC0002151 1
PGC0002182 1
PGC0002269 1
PGC0002288 1
PGC0002331 1
PGC0002352 1
PGC0002365 1
PGC0002388 1
PGC0002391 1
PGC0002440 1
PGC0002482 1
PGC0002501 0
PGC0002522 0
PGC0002527 1
PGC0002597 1
PGC0002600 1
PGC0002615 1
PGC0002768 1
PGC0002800 1
PGC0002805 1
PGC0002889 1
PGC0003072 1
PGC0003140 1
PGC0003232 2
PGC0003314 1
PGC0003377 1
PGC0003451 0
PGC0003496 1
PGC0003563 1
PGC0003566 1
PGC0003569 1
PGC0003584 1
PGC0003620 1
PGC0003781 1
PGC0003817 0
PGC0003830 0
PGC0003904 1
PGC0003960 1
PGC0003976 0
PGC0004116 1
PGC0004124 1
PGC0004367 1
PGC0004415 1
PGC0004416 2
PGC0004484 1
PGC0004485 1
PGC0004500 0
PGC0004540 1
PGC0004608 1
PGC0004647 2
PGC0004663 1
PGC0004734 1
PGC0004805 1
PGC0004812 1
PGC0004897 1
PGC0004906 1
PGC0004979 1
PGC0004992 1
PGC0005056 1
PGC0005078 1
PGC0005220 2
PGC0005261 1
PGC0005270 1
PGC0005291 1
PGC0005298 1
PGC0005330 1
PGC0005366 2
PGC0005415 1
PGC0005527 1
PGC0005539 1
PGC0005645 1
PGC0005673 1
PGC0005688 1
PGC0005771 1
PGC0005776 1
PGC0005792 1
PGC0005803 1
PGC0005830 1
PGC0005838 1
PGC0005932 1
PGC0005939 1
PGC0006004 0
PGC0006005 1
PGC0006193 1
PGC0006292 1
PGC0006309 1
PGC0006318 1
PGC0006364 1
PGC0006504 2
PGC0006505 1
PGC0006516 1
PGC0006627 1
PGC0006628 1
PGC0006636 1
PGC0006637 1
PGC0006667 1
PGC0006670 1
PGC0006671 1
PGC0006673 0
PGC0006678 1
PGC0006826 1
PGC0006832 1
PGC0006855 1
PGC0006888 1
PGC0006982 1
PGC0006986 1
PGC0007022 1
PGC0007042 1
PGC0007046 1
PGC0007064 0
PGC0007114 1
PGC0007210 1
PGC0007246 1
PGC0007262 1
PGC0007328 1
PGC0007341 1
PGC0007366 1
PGC0007465 1
PGC0007485 1
PGC0007533 1
PGC0007574 1
PGC0007632 1
PGC0007654 2
PGC0007740 1
PGC0007741 1
PGC0007806 1
PGC0007835 1
PGC0007856 1
PGC0007905 1
PGC0007966 1
PGC0007979 1
PGC0007998 2
PGC0008014 1
PGC0008060 1
PGC0008165 1
PGC0008182 1
PGC0008225 1
PGC0008228 1
PGC0008232 1
PGC0008295 1
PGC0008302 2
PGC0008397 1
PGC0008406 1
PGC0008412 1
PGC0008439 1
PGC0008464 1
PGC0008502 1
PGC0008522 1
PGC0008526 1
PGC0008586 1
PGC0008718 0
PGC0008876 1
PGC0009028 1
PGC0009256 1
PGC0009376 1
PGC0009406 2
PGC0009414 1
PGC0009445 1
PGC0009530 2
PGC0009549 1
PGC0009617 1
PGC0009621 1
PGC0009643 1
PGC0009711 1
PGC0009765 1
PGC0009822 1
PGC0009846 1
PGC0009869 1
PGC0009880 1
PGC0009894 1
PGC0010060 1
PGC0010065 1
PGC0010108 1
PGC0010117 2
PGC0010122 1
PGC0010137 1
PGC0010140 1
PGC0010175 0
PGC0010208 1
PGC0010213 2
PGC0010249 1
PGC0010285 1
PGC0010290 1
PGC0010315 1
PGC0010381 1
PGC0010464 1
PGC0010496 1
PGC0010507 1
PGC0010559 1
PGC0010574 1
PGC0010634 1
PGC0010647 1
PGC0010649 0
PGC0010673 1
PGC0010697 1
PGC0010726 1
PGC0010747 1
PGC0010766 1
PGC0010794 1
PGC0010854 1
PGC0010857 1
PGC0010875 1
PGC0011000 1
PGC0011067 1
